original_text,finbert_sentiment,roberta_sentiment,vader_sentiment,financialbert_sentiment,true_label
We calculated 63-day Expected Return of $CHRW for you: -6.3% https://t.co/bQv1ZL3wKn,neutral,neutral,neutral,neutral,neutral
RT @megtirrell: $VRX - I mean $BHC - CEO Joe Papa on ⁦@CNBCClosingBell⁩ now https://t.co/UToe55R7YG,neutral,neutral,neutral,neutral,neutral
Patterson-UTI Energy $PTEN Stock Price Down 5.3% https://t.co/sex9GmooL3,neutral,neutral,positive,neutral,negative
Bitmex allows you to go long/short on your trades! 💰  Register for BONUS ➡️ https://t.co/LzDcDv8zGK  $COB $MNE… https://t.co/hkIIBML73i,neutral,neutral,positive,neutral,neutral
$1.21 Earnings Per Share Expected for Allegion PLC $ALLE This Quarter https://t.co/c9YNSB2LLD,neutral,neutral,positive,neutral,neutral
Our bot on Discord notifies faster than Crypto Tracker Bot! 😍  Join Us ➡️ https://t.co/c6OTMeB68o  $XVG $FDC $NMR… https://t.co/Tvj42ONg0F,neutral,neutral,negative,neutral,neutral
As Royal Caribbean Cruises $RCL Share Value Declined Shareholder Dsm Capital Partners LLC Has Cut Its Position by $12.89 Million ...,negative,negative,positive,negative,negative
Metlife Inc $MET Sees Large Decline in Short Interest https://t.co/pSYDoHj6LI,negative,negative,positive,negative,negative
RT @MarketCurrents: AbbVie out-licenses Humira patents to Mylan biosimilar sales five years away i... https://t.co/ZllLBhlwwW #premarket $…,neutral,neutral,neutral,neutral,neutral
As Smucker J M $SJM Market Valuation Declined Peregrine Asset Advisers INC Has Boosted Stake by $8.10 Million - https://t.co/oP0GxyRYTL,neutral,negative,positive,neutral,negative
Waters $WAT Downgraded by Janney Montgomery Scott https://t.co/a7UDiKhFGI,negative,neutral,neutral,negative,negative
#Trmx uno de mis mejores trades duró 25 segundos y fue al estar leyendo algo impreso. Cuando de reojo a los monitor… https://t.co/iUah17Rzi0,positive,neutral,neutral,neutral,neutral
Join us to get premium trading signals! 🙌  Join Us ➡️ https://t.co/c6OTMeB68o  $IOST $MGO $DAT $AIR $APX $ZCL… https://t.co/3I7u8rgkW8,neutral,neutral,positive,neutral,neutral
McKesson $MCK Raised to Buy at Standpoint Research https://t.co/oCCakFlBlG,neutral,neutral,neutral,positive,neutral
Prudential Financial Inc. $PRU Forms Bearish Wedge Down Pattern; Strong Momentum for Sellers - https://t.co/EPMDkxSgFY,positive,neutral,positive,positive,positive
"Reaffirmed: Mosaic $MOS ""Neutral"" Rating Kept by Analysts at Citigroup; $31 Target in Place - https://t.co/oEXg92Xj1g",positive,neutral,neutral,positive,positive
@StockPlaza $NFLX is down 55$ in post market. I would be moving to $IQ $BZUN asap,neutral,neutral,neutral,neutral,negative
Federal Realty Investment Trust $FRT Expected to Post Earnings of $1.53 Per Share https://t.co/Rz7T0fhc62,positive,neutral,positive,neutral,positive
We think $NEP $NSC will beat and raise the earnings cycle https://t.co/YDhFn9FPmI,neutral,neutral,neutral,positive,positive
Today Barclays Capital Reconfirms a Overweight Rating on Prudential PLC $PRU and a GBX 2076.00 Target Price - https://t.co/H3m2OJ4rMU,neutral,neutral,negative,positive,positive
RT @247WallSt: Thursday's Top Analyst Upgrades and Downgrades PART 2 $JNJ $MMM $MRO $NDAQ $NTAP $NFLX $NFX $NBL $OMER $SNDX $TWTR https://t…,negative,neutral,positive,positive,neutral
RT @cechv2: #Expotential Growth in #Crypto: #Coinbase 20M+ Users #Binance 5M+ Users  #Electroneum #ETN $ETN 2M+ Users (for just 8 month) g…,neutral,neutral,positive,neutral,positive
$APH: Aphria Inc's forecast earnings moved 0.0% over the last week but the price is -12.7%. It's PE ratio is now 5… https://t.co/jjWXZ5HGHb,negative,neutral,neutral,neutral,negative
PPG Industries Inc. $PPG Analysts See $1.89 EPS - https://t.co/vkZEkDINFg,neutral,neutral,neutral,neutral,neutral
First newsletter from my friend @rickkommel new global equity fund. Top analyst and portfolio manager we worked to… https://t.co/brK0LQBM74,neutral,neutral,positive,neutral,neutral
RT @offshorehunters: $AAL daily chart airlines perking this am nice falling wedge here on watch https://t.co/Ox1KLKBOW1,negative,neutral,positive,neutral,negative
Rockwell Collins Inc. $COL's Double Top Chart Pattern Points to Lower Stock Risks - https://t.co/dHqx39EuSX,negative,neutral,negative,neutral,negative
 $MHK 216.minor-BREAKOUT + 221.major-BREAKOUT = -221.going.vertical-up.at-the-open 1:43 PM - 9 Jul 2018 by realt… https://t.co/EXhdMBGdMa,neutral,neutral,neutral,neutral,neutral
Beneteau SA: Heavy volume for Bénéteau stock. $BEN https://t.co/0BwZcbcSal https://t.co/ob4rbTZQZI,neutral,neutral,neutral,neutral,neutral
Today Morgan Stanley Reaffirms a Equal-Weight Rating on Entergy $ETR and a $83 Target Price - https://t.co/B0zDny8io6,neutral,neutral,neutral,positive,positive
$TVIX so any bulls out there thinking $40 today?,neutral,neutral,neutral,neutral,neutral
First legacy media co's license their content libraries with $NFLX... now $NFLX has so much original content it's r… https://t.co/sAuGojI216,neutral,neutral,positive,neutral,neutral
$GG Goldcorp Inc. Option Order Flow Sentiment is 81.9% Bullish. https://t.co/Upm8aVoFPl,neutral,positive,positive,positive,positive
DATO: Hoy la acción de AMERICAN AIRLINES GROUP $AAL gana 3.69%. Una aerolínea muy utilizada por socialistas para ir… https://t.co/y1Kc6d2KHQ,positive,neutral,neutral,neutral,positive
2018-07-17 Short sale volume (not short interest) for $WLL is 56%. https://t.co/TzPFCl4ujU $EOG 42% $MRO 47% $NFX 34%,neutral,neutral,positive,neutral,neutral
RT @LuzMariaChavez1: No creo... Todo$ ésto$ $on incondicionale$ de #YaSabesQuien ¡Niéguenmelo! #MeDuelesMéxico 😰 por éste tipo de 💩💩💩💩💩 👇…,positive,neutral,neutral,neutral,neutral
Coin listings pumps 20-100%. Our bot detects it before official announcements! 😍  Join Us: ➡️… https://t.co/RlnGoVyQav,neutral,neutral,positive,neutral,neutral
Gráfico diário #ITUB4 $ITUB https://t.co/VeZHxlH3v2,neutral,neutral,neutral,neutral,neutral
Our bot on Discord notifies faster than Crypto Tracker Bot! 💰  Join Us ➡️ https://t.co/mgv9NMztD8  $EKO $AUR $HAV… https://t.co/UeMGCBra3x,neutral,neutral,negative,neutral,neutral
This brutal $BCC $WY selling ... too harsh.   They will both blow away earnings because of lumber price ramp this… https://t.co/8lw8xEOaGB,negative,negative,negative,neutral,negative
An $O(\log^{1.5}n \log\log n)$ Approximation Algorithm for Mean Isoperimetry and Robust $k$-means https://t.co/9ru9VGkIwH,neutral,neutral,positive,neutral,neutral
RT @theflynews: REPORT: Activist #investors launch campaigns at record pace in drive for returns $XRX $NWL $GE $VRX $PF https://t.co/NvxWjX…,positive,neutral,neutral,positive,positive
$APD Air Products End-Of-Day Quote Alert From our Stock News Alerts App,neutral,neutral,positive,neutral,neutral
L3 Technologies $LLL Cut to “Hold” at Zacks Investment Research  https://t.co/wQSyLGivS9,neutral,neutral,negative,negative,negative
Binance has over 3 million users! Join us today! 💰  Register for BONUS ➡️ https://t.co/W8wJYAQLVG  $REAL $RMC… https://t.co/MXdeWk3vwK,neutral,positive,positive,neutral,neutral
Accenture Plc Ireland $ACN Share Price Declined While Crawford Investment Counsel INC Has Lowered Holding - https://t.co/NMnXrbKDxX,neutral,negative,positive,negative,negative
RT @coastw: IBM quarterly results top estimates https://t.co/JpQZEfIbsg @IBM $IBM #IBM,neutral,neutral,positive,neutral,neutral
$MOMO Daily  Sexy time! https://t.co/cvFj4cNRBm,neutral,positive,positive,neutral,neutral
RT @ajaydevfan: Suno my friends Jise #Zindagi Na #Pasand ho toh #shamshan chale jaye __ ☝️☝️ Aur jise Mere #ajaydevgn nahi  pasand Hain T…,neutral,neutral,positive,neutral,neutral
RT @BrandonVanZee: 🕘 #9at9 - Your 9am ET daily digest of what large &amp; mid-cap 🇺🇸 stocks are ⬆️ &amp; ⬇️ the most in the premarket.  📈 $HELE $KO…,neutral,neutral,neutral,neutral,neutral
Traders Buy Shares of Alibaba Group $BABA on Weakness https://t.co/sYXTszkk6U,neutral,neutral,negative,positive,negative
RT @eWhispers: upcoming #earnings releases with the highest #volatility $NDLS $TTS $SKX $SYNT $LLNW $ERIC $FFBC $GWW $NFLX $NVRO $CLF $AD…,neutral,neutral,neutral,neutral,neutral
Eastman Chemical $EMN Expected to Post Quarterly Sales of $2.61 Billion https://t.co/JYqMO7WCPe,positive,neutral,neutral,neutral,positive
Robert Half International Inc. $RHI EPS Estimated At $0.85 https://t.co/loKVuqqVlh,neutral,neutral,neutral,neutral,neutral
$MMM above recent highs out of small flag starting to clear downtrend with some bullish flows last two weeks as well,negative,positive,positive,neutral,positive
Binance fees are 3-5x less than Bittrex ! 🙌  Register for BONUS ➡️ https://t.co/cF0JvPVB6x  $FLDC $EMER $LBA… https://t.co/Bak7VqeMq9,neutral,neutral,positive,neutral,neutral
Update on $APRN swing. Currently up 18% and riding strength. Working on riding winners so gonna let this position r… https://t.co/s6zOIOWGll,neutral,neutral,positive,positive,positive
Absolutely love this app!  Join @RobinhoodApp and we'll both get a stock like $AAPL $F or $S for free. Make sure… https://t.co/4mpJIErvcs,neutral,positive,positive,neutral,neutral
Nuance Communications Inc. $NUAN Receives $20.25 Average Target Price from Analysts https://t.co/sKYYaDhEKz,neutral,neutral,neutral,neutral,neutral
Valero Energy $VLO Share Price Rose While Ajo LP Cut Its Stake - https://t.co/dqUxwb6ZXD,negative,neutral,positive,neutral,negative
Xilinx INC $XLNX Share Value Declined While Perigon Wealth Management LLC Trimmed by $7.20 Million Its Holding - https://t.co/Nkm9LWXTBj,neutral,negative,positive,negative,negative
$DOV reports before the open tomorrow Estimize Consensus +0.02 EPS and +19.43M Revs compared to WS - https://t.co/tG5uGncy9I,neutral,neutral,neutral,neutral,neutral
$VZ open interest for maturity 07/20/2018. High put=38.00 High call=52.50 #maxpain #options https://t.co/EM2KBChmeU https://t.co/GV8uKHvA5a,neutral,neutral,positive,neutral,neutral
Should Noble Energy $NBL Shares Be Watched After Morgan Stanley Initiates Coverage? - https://t.co/deImzbGUql,neutral,neutral,positive,neutral,neutral
RT @lunatictrader1: Partial profits signal for S&amp;P 500. Can also take partial profits in $FB $GILD $OPK and $PYPL. More stocks: https://t.c…,neutral,neutral,positive,neutral,neutral
Head to Head Analysis: Range Resources $RRC versus Rex Energy $REXX https://t.co/IIO3aKykmY,neutral,neutral,positive,neutral,neutral
LONG: $FB $CPSG $MCD $LMT $MCK $AXIO $DB $LNVGY,neutral,neutral,neutral,neutral,neutral
Q2 2018 EPS Estimates for Carrizo Oil &amp; Gas Inc Increased by KeyCorp $CRZO https://t.co/OaQEnWFGfl,neutral,neutral,positive,positive,positive
General Mills. Leuk aandeel werd ik laatst op gewezen door @martienvwinden : https://t.co/KDi3PgJ2FL $GIS gaat op de #watchlist,neutral,neutral,neutral,neutral,neutral
AutoNation $AN Cut to Underweight at Morgan Stanley https://t.co/dSdxE01x84,positive,neutral,negative,negative,negative
$DASH Dash price: $264.30 HURRY! Binance is currently accepting new users 💎 💸  ➡️ https://t.co/8bxd1YvcGR  $SC… https://t.co/5yKSDVYhk5,neutral,neutral,positive,neutral,neutral
$AWR $BKH $CNP $DTE $EIX $EXC $MDU $NI $NJR $PPL $SCG $SR $SRE $SWX $UGI $XLU https://t.co/gseVPlDcgg,neutral,neutral,neutral,neutral,neutral
Visa $V Sets New 52-Week High After Dividend Announcement  https://t.co/2z0DcM5Vfq,positive,positive,neutral,neutral,positive
A Lot To Like About Kansas City Southern - Tusk Media&amp;#39;s Andrew Hall And Ben ... https://t.co/BnAZk84lmK $KSU #stocks #stockmarket,neutral,neutral,positive,neutral,neutral
RT @GoTimeTrader: FREE BLACKBOX TRIAL!! READ NOW $CEI $PIXY $SNES $ADXS $ACHN $AIPT $ATNM $HMNY $ADMA $CAPR $VSTM $ACRX $CPRX $TGA $FRAN $A…,neutral,neutral,positive,neutral,neutral
Should Lumentum $LITE Shares Be Watched After Cascend Securities Initiates Coverage? https://t.co/g6rbC5jc47,neutral,neutral,positive,neutral,neutral
Xerox explores sale of leasing finance unit: sources https://t.co/TSblwqWjvT @gregroumeliotis @lianabaker $XRX,neutral,neutral,neutral,neutral,neutral
RT @WrigleyTom: Europe Closed | Mixed  US Snapshot Choppy but Rotation working  RS Retail-related $KSS $NKE $LULU $W $AMZN $VFC $KORS $GOOS…,neutral,neutral,neutral,neutral,neutral
Analysts See $0.66 EPS for ONEOK Inc. $OKE https://t.co/I7Il5cpObr,neutral,neutral,neutral,neutral,neutral
Sold $SYF @ 32.63 Buy @ 33.43. Loss of -2.13%  I will always post my losers! #VolQ $SPX $SPY $DIA $DJIA $FAAMG… https://t.co/awz4vFQgKE,neutral,negative,negative,neutral,neutral
$INSY   Undervalued Cannabis Pipeline @   https://t.co/BoARXMtZ62    // $FXI $ASHR $JJC $YINN $CAF $EWH $KWEB $YANG… https://t.co/aaiBtHdd9j,positive,neutral,neutral,neutral,neutral
"Reaffirmed: Illumina $ILMN ""Overweight"" Rating Reaffirmed at PiperJaffray; $329 Target in Place - https://t.co/ptU2HTVTFp",neutral,neutral,negative,positive,positive
$AAOI major reversal break of support. Why we use mechanical stops. Was stopped out at 46.50 for small loss and luc… https://t.co/L1ErShYuT6,neutral,neutral,negative,neutral,neutral
NPP's This Week In Trading 7.9.18 https://t.co/hL8W6OmMUM $SPX $AMD $ARRY $BABA $BAC $BX $C $CAT $DHI $DIS $ECA… https://t.co/FZOtvtvVM6,neutral,neutral,neutral,neutral,neutral
As Alexion Pharmaceuticals INC $ALXN Shares Declined Pura Vida Investments LLC Has Lifted Its Holding https://t.co/k4Hk4fYsg4,neutral,neutral,positive,negative,negative
Binance is one of the most prominent exchange in crypto. 💰  Register for BONUS ➡️ https://t.co/U8FIwN3Bk8  $CDT… https://t.co/0ThNAcOwNA,neutral,neutral,positive,neutral,neutral
RT @CloisterRes: Maybe I'm really dumb but how are food commodity prices only going down for like the past 10 years yet fertilizer oper…,neutral,negative,negative,neutral,negative
Intuit $INTU Stake Has Raised by Transamerica Financial Advisors Inc - https://t.co/zA7BFtKdlQ,neutral,neutral,neutral,positive,positive
Avery Dennison $AVY PT Set at $111.00 by Loop Capital https://t.co/BiYAtUohsK,neutral,neutral,neutral,neutral,neutral
We like $AMD before the release https://t.co/V2V9OAExuk,neutral,neutral,positive,neutral,neutral
@# @$ #@# %@# %@ %@#$ %#$ ^ #$^% $ $%&amp; $#  @% ^  ^@$ ^^ % &amp;%^ # ^* ^ %^ ^ ^ *^ #  ^ ^ ^* ^*s *s *s ^d ^sdd ^ % % %… https://t.co/ncV6czByVz,neutral,neutral,neutral,neutral,neutral
RT @tpetruno: $NFLX's drop of 5.2% after growth-data disappointment fails to deter buyers of other tech titans.  Tues (* = new high):  $NVD…,negative,negative,negative,negative,negative
$JPM $BRK/A Bond Traders Are Way Ahead of the Feds Powell via https://t.co/jURZDymPXI,neutral,neutral,neutral,neutral,neutral
Guggenheim Reiterates $156.00 Price Target for Advance Auto Parts $AAP https://t.co/8QSPLvIi59,neutral,neutral,neutral,neutral,neutral
Current $ARK price: $1.62 We verified that Binance is accepting new users! 🙌 💰  ➡️ https://t.co/1MGT8sIMN8… https://t.co/bo2PAeydKa,neutral,neutral,positive,neutral,neutral
Q2 2018 Earnings Forecast for Akamai Technologies Inc. Issued By Oppenheimer $AKAM https://t.co/NMxqfJKtHh,neutral,neutral,neutral,neutral,neutral
50% discount on all trades sign up today &amp; enjoy discounts 💰  Register for BONUS ➡️ https://t.co/U8FIwN3Bk8… https://t.co/u6rog8aayx,neutral,neutral,positive,neutral,neutral
Boston Properties $BXP Holding Boosted by Daiwa Securities Group Inc - https://t.co/yxN5pkpMH2,neutral,neutral,positive,neutral,positive
RT @SallyPancakes: .@jpmorgan's Jamie Dimon's note for @lloydblankfein posted on LinkedIn $GS $JPM (ht @readkrystalhu) https://t.co/YCFM06P…,neutral,neutral,neutral,neutral,neutral
Please AT&amp;T don't turn HBO into Netflix. We want to See More Niche Content which may not be Popular but at least Br… https://t.co/DJGoQutMub,neutral,neutral,positive,neutral,neutral
RT @ajaydevfan: Suno my friends Jise #Zindagi Na #Pasand ho toh #shamshan chale jaye __ ☝️☝️ Aur jise Mere #ajaydevgn nahi  pasand Hain T…,neutral,neutral,positive,neutral,neutral
These Stocks Are Turning The Corner: Huntington Bancshares Incorporated (HBAN ... https://t.co/1h8AwAe5VB $APC #stocks #stockmarket,neutral,neutral,neutral,neutral,neutral
Trade with up to 100x Leverage on Bitmex! 💰  Register for BONUS ➡️ https://t.co/gcBiS2GsnA  $PINK $SAN $EXCL $ATM… https://t.co/4dEi8u5wFe,neutral,neutral,positive,neutral,neutral
RT @TIPACorp: McDonald’s teams with @Starbucks on search for recyclable #compostable cups $MCD $SBUX https://t.co/LhjcCT7lhe,neutral,neutral,neutral,neutral,neutral
$PTEN New Insider Filing On:  Holcomb James Michael Transaction Code: M https://t.co/BmrLNE5sd5,neutral,neutral,neutral,neutral,neutral
Trade on Binance with 50% discount trading fee 💎  Register for BONUS ➡️ https://t.co/dCqftjfXZq  $MLN $RHOC $CHK… https://t.co/BXM14yXUgS,neutral,neutral,positive,neutral,neutral
don't miss out on registering on Binance before they close registrations again https://t.co/Nz7cto0Ges $BTC… https://t.co/8bDa3Hklos,neutral,neutral,positive,neutral,neutral
RT @cfromhertz: $RHT Sep 165/ 170 call sprd trades 9500 contracts opening.,neutral,neutral,neutral,neutral,neutral
$0.86 EPS Expected for Emerson Electric Co. $EMR https://t.co/M9LfuDhtGo,neutral,neutral,neutral,neutral,positive
Trndg ↗  $ENDP $ACGL $AAOI $AMD  Charts @ https://t.co/nxLx1EAwwq,neutral,neutral,neutral,neutral,neutral
Northrop Grumman Corp's $NOC Sentiment is 0.88 - https://t.co/lL3zMq4pCn,neutral,neutral,neutral,neutral,neutral
"Genocea's ""Genital Herpes Virus Vaccine GEN-003 May Work After All"" https://t.co/7IxV3eTsJd We already know GEN-003… https://t.co/3GrDFi6qB8",neutral,neutral,neutral,neutral,neutral
Analysts Expect TJX Companies Inc $TJX Will Post Quarterly Sales of $9.02 Billion https://t.co/pE3gjc8LCy,positive,neutral,neutral,neutral,positive
RT @Pennystock__: Good morning 🖐🖐😘#SiliconValley based  $ARYC on our radar today #ARYC @arrayit 👍👍 $BIIB $AAPL $MU $AZN $AXON $GLD $WWE $TW…,neutral,positive,positive,neutral,neutral
@Kopie72 @tastytraderMike Currently $148.85 and climbing. +3.72%. $155-$160 by Wednesday. $IBM #stockstowatch,positive,neutral,neutral,positive,positive
12 Times More Firms Complain About Currencies Than Tariffs https://t.co/La7tGsYnZ3 $JNJ $UDN,negative,neutral,negative,neutral,negative
Detail(change 1h)  $CREVA +79.68%  $LNC +62.64%  $NTO +49.97%  $TOA +34.34%  $USC +29.13%  #cryptocurrency,neutral,neutral,neutral,neutral,neutral
BB&amp;T Co. $BBT Expected to Post Earnings of $1.01 Per Share https://t.co/cy1MYsBx21,positive,neutral,positive,neutral,positive
What Will Happen to Murphy Oil Corporation $MUR Next? The Stock Has Decline in Shorts - https://t.co/0dZCJ4XN5e,negative,neutral,neutral,negative,negative
Head-To-Head Contrast: Viacom Inc. Class B $VIAB versus Hemisphere Media Group $HMTV https://t.co/xF1uHfXQNH,neutral,neutral,neutral,neutral,neutral
Revival of U.S. tourism to Cuba https://t.co/KLV9xVEpAO $NCLH $CCL $RCL $CUBA,neutral,neutral,neutral,positive,neutral
Express Scripts Holding Co $ESRX Shareholder Capital Counsel LLC Lowered Its Stake by $5.52 Million - https://t.co/6UO8uvk6Wq,neutral,neutral,negative,positive,negative
RT @excaliburcoin: 第15回フォロー&amp;リツイートイベント開催！  第7回の優勝賞品をみなさまへ  絵師さんのサイン入り色紙  各3名様(合計9名様)にプレゼント！  【応募条件】 このツイートをフォロー&amp;リツイート  【締切】 7/27 23:00  【当選通…,neutral,neutral,neutral,neutral,neutral
RT @JJOinvestments: $ADBE a close above 260 would be an ATH and pave the way for more upside,neutral,neutral,neutral,positive,positive
